frame, fps, time
0, 135.5381, 0
1, 97.99118, 0.010205
2, 129.0156, 0.017956
3, 110.6562, 0.026993
4, 104.4277, 0.036569
5, 122.7295, 0.044717
6, 100.5733, 0.05466
7, 130.9243, 0.062298
8, 125.6281, 0.070258
9, 115.7273, 0.078899
10, 118.5818, 0.087332
11, 113.8952, 0.096112
12, 109.0988, 0.105278
13, 127.7139, 0.113108
14, 59.70506, 0.129857
15, 133.4935, 0.137348
16, 150.9206, 0.143974
17, 120.1346, 0.152298
18, 135.4646, 0.15968
19, 95.70294, 0.170129
20, 137.5516, 0.177399
21, 109.9626, 0.186493
22, 131.9261, 0.194073
23, 98.33809, 0.204242
24, 155.4243, 0.210676
25, 122.504, 0.218839
26, 124.8128, 0.226851
27, 101.5331, 0.2367
28, 143.2049, 0.243683
29, 126.3264, 0.251599
30, 123.3654, 0.259705
31, 109.8298, 0.26881
32, 122.2942, 0.276987
33, 121.1387, 0.285242
34, 113.6364, 0.294042
35, 127.5348, 0.301883
36, 113.0199, 0.310731
37, 130.0559, 0.31842
38, 102.9336, 0.328135
39, 112.6888, 0.337009
40, 108.7903, 0.346201
41, 132.908, 0.353725
42, 112.7523, 0.362594
43, 121.6841, 0.370812
44, 127.9263, 0.378629
45, 114.7184, 0.387346
46, 119.6745, 0.395702
47, 123.2438, 0.403816
48, 125.0782, 0.411811
49, 112.3217, 0.420714
50, 114.6789, 0.429434
51, 118.5677, 0.437868
52, 108.7903, 0.44706
53, 127.4535, 0.454906
54, 108.2251, 0.464146
55, 113.5718, 0.472951
56, 140.41, 0.480073
57, 110.12, 0.489154
58, 115.8078, 0.497789
59, 111.0371, 0.506795
60, 129.9039, 0.514493
61, 106.0895, 0.523919
62, 128.2874, 0.531714
63, 103.8422, 0.541344
64, 119.4743, 0.549714
65, 117.9523, 0.558192
66, 118.2173, 0.566651
67, 115.6872, 0.575295
68, 122.3541, 0.583468
69, 113.9471, 0.592244
70, 103.6484, 0.601892
71, 130.5142, 0.609554
72, 106.349, 0.618957
73, 121.4919, 0.627188
74, 118.6944, 0.635613
75, 105.7194, 0.645072
76, 137.798, 0.652329
77, 123.64, 0.660417
78, 104.0799, 0.6700249
79, 101.5744, 0.6798699
80, 138.1025, 0.687111
81, 117.4674, 0.6956239
82, 120.8021, 0.7039019
83, 101.1327, 0.7137899
84, 127.4697, 0.7216349
85, 126.4222, 0.7295449
86, 109.9747, 0.7386379
87, 127.6487, 0.7464719
88, 114.8501, 0.7551789
89, 114.7184, 0.7638959
90, 126.3584, 0.7718099
91, 122.444, 0.779977
92, 101.2146, 0.789857
93, 132.908, 0.797381
94, 127.9427, 0.805197
95, 107.7006, 0.814482
96, 134.2282, 0.821932
97, 124.0079, 0.8299959
98, 111.6321, 0.8389539
99, 115.5135, 0.8476109
100, 114.6, 0.8563369
101, 134.1742, 0.8637899
102, 107.8632, 0.8730609
103, 117.6886, 0.8815579
104, 113.7786, 0.8903469
105, 119.6315, 0.898706
106, 109.529, 0.907836
107, 120.54, 0.916132
108, 112.6888, 0.925006
109, 123.472, 0.933105
110, 113.9471, 0.941881
111, 123.0012, 0.950011
112, 103.3699, 0.959685
113, 128.5347, 0.967465
114, 112.9433, 0.976319
115, 117.4398, 0.984834
116, 113.5074, 0.993644
117, 102.2809, 1.003421
118, 136.8551, 1.010728
119, 106.4509, 1.020122
120, 110.0473, 1.029209
121, 103.0397, 1.038914
122, 131.2336, 1.046534
123, 108.2485, 1.055772
124, 130.6506, 1.063426
125, 109.2657, 1.072578
126, 121.8324, 1.080786
127, 109.7695, 1.089896
128, 112.1328, 1.098814
129, 118.2313, 1.107272
130, 102.976, 1.116983
131, 108.7784, 1.126176
132, 115.141, 1.134861
133, 107.0778, 1.1442
134, 121.9661, 1.152399
135, 115.5268, 1.161055
136, 102.2704, 1.170833
137, 118.638, 1.179262
138, 110.6807, 1.188297
139, 121.3592, 1.196537
140, 101.9368, 1.206347
141, 122.1001, 1.214537
142, 94.84966, 1.22508
143, 140.5679, 1.232194
144, 113.3658, 1.241015
145, 110.6807, 1.25005
146, 112.0699, 1.258973
147, 118.4975, 1.267412
148, 112.7523, 1.276281
149, 107.0205, 1.285625
150, 118.5536, 1.29406
151, 108.4246, 1.303283
152, 111.8819, 1.312221
153, 100.2104, 1.3222
154, 103.8422, 1.33183
155, 115.5936, 1.340481
156, 92.08103, 1.351341
157, 143.6575, 1.358302
158, 117.5917, 1.366806
159, 106.3717, 1.376207
160, 121.1094, 1.384464
161, 115.9286, 1.39309
162, 101.7191, 1.402921
163, 115.7273, 1.411562
164, 111.7693, 1.420509
165, 109.9022, 1.429608
166, 109.6852, 1.438725
167, 122.0852, 1.446916
168, 94.17082, 1.457535
169, 127.5836, 1.465373
170, 103.0291, 1.475079
171, 101.5331, 1.484928
172, 122.6994, 1.493078
173, 97.67532, 1.503316
174, 136.2769, 1.510654
175, 113.6364, 1.519454
176, 111.433, 1.528428
177, 108.8969, 1.537611
178, 108.272, 1.546847
179, 109.7333, 1.55596
180, 111.3586, 1.56494
181, 107.1926, 1.574269
182, 113.8434, 1.583053
183, 102.3646, 1.592822
184, 100.776, 1.602745
185, 110.1686, 1.611822
186, 104.3841, 1.621402
187, 113.9601, 1.630177
188, 95.0209, 1.640701
189, 140.9841, 1.647794
190, 102.6694, 1.657534
191, 114.4558, 1.666271
192, 112.0951, 1.675192
193, 107.1123, 1.684528
194, 106.2473, 1.69394
195, 109.1465, 1.703102
196, 109.9384, 1.712198
197, 93.91435, 1.722846
198, 126.3264, 1.730762
199, 112.8923, 1.73962
200, 105.6412, 1.749086
201, 115.1543, 1.75777
202, 120.7438, 1.766052
203, 107.1582, 1.775384
204, 107.9914, 1.784644
205, 109.1465, 1.793806
206, 114.6657, 1.802527
207, 116.6725, 1.811098
208, 102.5957, 1.820845
209, 116.198, 1.829451
210, 94.16196, 1.840071
211, 124.8284, 1.848082
212, 111.657, 1.857038
213, 113.8822, 1.865819
214, 92.96272, 1.876576
215, 133.5827, 1.884062
216, 96.16309, 1.894461
217, 130.2422, 1.902139
218, 113.546, 1.910946
219, 102.1346, 1.920737
220, 122.8049, 1.92888
221, 107.6426, 1.93817
222, 111.5698, 1.947133
223, 108.7903, 1.956325
224, 88.80206, 1.967586
225, 128.5017, 1.975368
226, 118.991, 1.983772
227, 104.9098, 1.993304
228, 106.4169, 2.002701
229, 104.5478, 2.012266
230, 104.2644, 2.021857
231, 113.4173, 2.030674
232, 107.9214, 2.03994
233, 111.7318, 2.04889
234, 98.44457, 2.059048
235, 105.0531, 2.068567
236, 118.7366, 2.076989
237, 100.8573, 2.086904
238, 98.0296, 2.097105
239, 117.3571, 2.105626
240, 105.0862, 2.115142
241, 105.7753, 2.124596
