frame, fps, time
199, 113.7398, 1.771858
200, 114.0901, 1.780623
201, 96.9838, 1.790934
202, 103.5197, 1.800594
203, 114.2988, 1.809343
204, 123.5636, 1.817436
205, 106.3377, 1.82684
206, 107.1926, 1.836169
207, 107.968, 1.845431
208, 101.9784, 1.855237
209, 97.87609, 1.865454
210, 114.4558, 1.874191
211, 82.52187, 1.886309
212, 92.61832, 1.897106
213, 90.44862, 1.908162
214, 93.81743, 1.918821
215, 136.1841, 1.926164
216, 104.2101, 1.93576
217, 96.32056, 1.946142
218, 91.21591, 1.957105
219, 107.2501, 1.966429
220, 123.1982, 1.974546
221, 88.62891, 1.985829
222, 110.9755, 1.99484
223, 92.19989, 2.005686
224, 90.93389, 2.016683
225, 91.61704, 2.027598
226, 96.15385, 2.037998
227, 97.81864, 2.048221
228, 84.96177, 2.059991
229, 96.68375, 2.070334
230, 103.9177, 2.079957
231, 101.5538, 2.089804
232, 112.2586, 2.098712
233, 87.1156, 2.110191
234, 86.62508, 2.121735
235, 98.75568, 2.131861
236, 136.5934, 2.139182
237, 145.4545, 2.146057
238, 123.533, 2.154152
239, 107.8283, 2.163426
240, 111.3958, 2.172403
241, 103.4982, 2.182065
242, 107.6774, 2.191352
243, 118.6521, 2.19978
244, 104.2644, 2.209371
245, 113.0966, 2.218213
246, 99.22604, 2.228291
247, 106.2022, 2.237707
248, 95.62057, 2.248165
249, 109.9505, 2.25726
250, 106.7692, 2.266626
251, 101.9264, 2.276437
252, 118.5255, 2.284874
253, 107.3307, 2.294191
254, 106.4623, 2.303584
255, 105.3297, 2.313078
256, 104.8438, 2.322616
257, 114.1422, 2.331377
258, 100.7455, 2.341303
259, 123.8237, 2.349379
260, 88.56612, 2.36067
261, 121.8621, 2.368876
262, 107.1811, 2.378206
263, 102.9018, 2.387924
264, 115.3669, 2.396592
265, 86.03631, 2.408215
266, 125.4233, 2.416188
267, 111.4827, 2.425158
268, 90.57971, 2.436198
269, 109.878, 2.445298
270, 105.9996, 2.454732
271, 106.1458, 2.464154
272, 105.3297, 2.473648
273, 114.0641, 2.482414
274, 97.55146, 2.492666
275, 112.5239, 2.501553
276, 90.24456, 2.512634
277, 119.1895, 2.521024
278, 112.0574, 2.529948
279, 96.64637, 2.540294
280, 92.09799, 2.551152
281, 110.9878, 2.560163
282, 119.9904, 2.568496
283, 93.76465, 2.579161
284, 101.9368, 2.588971
285, 104.7998, 2.598513
286, 120.54, 2.606809
287, 99.51239, 2.616858
288, 108.9681, 2.626035
289, 123.472, 2.634135
290, 101.0101, 2.644035
291, 96.79605, 2.654366
292, 118.5115, 2.662804
293, 92.72997, 2.673588
294, 108.3776, 2.682815
295, 116.8634, 2.691372
296, 115.4201, 2.700036
297, 92.10648, 2.710893
298, 110.9632, 2.719905
299, 106.3717, 2.729306
300, 98.31875, 2.739477
301, 103.584, 2.749131
302, 105.7977, 2.758583
303, 112.5619, 2.767467
304, 102.9972, 2.777176
305, 106.2473, 2.786588
306, 114.7579, 2.795302
307, 97.2668, 2.805583
308, 117.6471, 2.814083
309, 97.63718, 2.824325
310, 117.8134, 2.832813
311, 100.2607, 2.842787
312, 92.78159, 2.853565
313, 122.0107, 2.861761
314, 102.4695, 2.87152
315, 100.7963, 2.881441
316, 99.73073, 2.891468
317, 125.7545, 2.89942
318, 94.58949, 2.909992
319, 114.1162, 2.918755
320, 93.22271, 2.929482
321, 107.1352, 2.938816
322, 100, 2.948816
323, 117.0138, 2.957362
324, 108.2837, 2.966597
325, 106.553, 2.975982
326, 97.99118, 2.986187
327, 104.9428, 2.995716
