frame, fps, time
196, 99.84026, 2.030316
197, 94.20631, 2.040931
198, 93.17059, 2.051664
199, 102.3646, 2.061433
200, 91.78522, 2.072328
201, 93.09254, 2.08307
202, 98.44457, 2.093228
203, 93.30969, 2.103945
204, 100.1904, 2.113926
205, 98.32841, 2.124096
206, 93.16192, 2.13483
207, 100.9489, 2.144736
208, 95.2381, 2.155236
209, 93.32711, 2.165951
210, 98.8924, 2.176063
211, 89.27774, 2.187264
212, 99.84026, 2.19728
213, 93.61543, 2.207962
214, 96.15385, 2.218362
215, 88.5818, 2.229651
216, 93.33582, 2.240365
217, 96.61835, 2.250715
218, 98.74593, 2.260842
219, 91.48294, 2.271773
220, 96.12611, 2.282176
221, 95.27439, 2.292672
222, 92.79881, 2.303448
223, 99.8602, 2.313462
224, 90.12257, 2.324558
225, 88.13679, 2.335904
226, 99.89012, 2.345915
227, 95.44717, 2.356392
228, 95.70294, 2.366841
229, 97.85693, 2.37706
230, 90.48136, 2.388112
231, 93.71193, 2.398783
232, 89.11067, 2.410005
233, 103.4875, 2.419668
234, 92.57545, 2.43047
235, 102.0304, 2.440271
236, 94.72388, 2.450828
237, 97.77083, 2.461056
238, 93.20533, 2.471785
239, 96.38554, 2.48216
240, 96.28345, 2.492546
241, 91.44111, 2.503482
242, 99.1375, 2.513569
243, 95.75793, 2.524012
244, 92.69559, 2.5348
245, 98.9903, 2.544902
246, 91.41603, 2.555841
247, 93.95847, 2.566484
248, 93.94082, 2.577129
249, 93.95847, 2.587772
250, 65.79813, 2.60297
251, 99.02951, 2.613068
252, 86.67764, 2.624605
253, 91.57509, 2.635525
254, 93.44048, 2.646227
255, 94.08223, 2.656856
256, 68.62947, 2.671427
257, 112.6634, 2.680303
258, 85.96235, 2.691936
259, 104.0258, 2.701549
260, 91.71787, 2.712451
261, 100.6036, 2.722391
262, 94.72388, 2.732948
263, 95.7671, 2.74339
264, 93.32711, 2.754105
265, 99.50249, 2.764155
266, 93.8879, 2.774806
267, 94.40196, 2.785399
268, 102.3646, 2.795168
269, 92.1659, 2.806018
270, 94.78673, 2.816568
271, 98.57072, 2.826713
272, 92.82465, 2.837486
273, 99.3937, 2.847547
274, 94.29514, 2.858152
275, 94.02915, 2.868787
276, 97.20062, 2.879075
277, 94.54477, 2.889652
278, 94.76876, 2.900204
279, 96.78668, 2.910536
280, 90.09821, 2.921635
281, 89.79885, 2.932771
282, 104.2862, 2.94236
283, 91.06639, 2.953341
284, 101.5641, 2.963187
285, 94.51796, 2.973768
286, 88.29243, 2.985094
287, 98.8924, 2.995206
288, 59.85157, 3.011914
289, 103.0291, 3.02162
290, 95.84971, 3.032053
291, 100.5126, 3.042001
292, 92.65265, 3.052794
293, 99.75063, 3.062819
294, 94.69697, 3.07338
295, 93.25748, 3.084103
296, 97.1251, 3.094399
297, 92.28497, 3.105235
298, 96.302, 3.115619
299, 85.80745, 3.127273
300, 91.01665, 3.13826
301, 99.40358, 3.14832
302, 96.15385, 3.15872
303, 95.01188, 3.169245
304, 100.321, 3.179213
305, 96.15385, 3.189613
306, 94.84966, 3.200156
307, 98.77518, 3.21028
308, 92.25943, 3.221119
309, 95.55662, 3.231584
310, 95.80379, 3.242022
311, 92.83327, 3.252794
312, 99.04913, 3.26289
313, 95.05704, 3.27341
314, 92.75578, 3.284191
315, 100.7354, 3.294118
316, 91.5667, 3.305039
