frame, fps, time
195, 81.27438, 2.222583
196, 92.71278, 2.233369
197, 98.05844, 2.243567
198, 65.8588, 2.258751
199, 72.67442, 2.272511
200, 72.6533, 2.286275
201, 91.70106, 2.29718
202, 92.94544, 2.307939
203, 101.6673, 2.317775
204, 74.64358, 2.331172
205, 76.78722, 2.344195
206, 64.76264, 2.359636
207, 83.73807, 2.371578
208, 108.7666, 2.380771
209, 67.66357, 2.39555
210, 121.3003, 2.403795
211, 78.82706, 2.416481
212, 64.21371, 2.432054
213, 113.0838, 2.440897
214, 96.24639, 2.451287
215, 74.33839, 2.464739
216, 115.0351, 2.473432
217, 79.52287, 2.486006
218, 103.2311, 2.495693
219, 93.69437, 2.506366
220, 87.26003, 2.517827
221, 90.44044, 2.528883
222, 96.75859, 2.539218
223, 84.83203, 2.551006
224, 94.27737, 2.561613
225, 73.47539, 2.575223
226, 106.1346, 2.584645
227, 81.74609, 2.596878
228, 105.2964, 2.606375
229, 81.05042, 2.618713
230, 59.65875, 2.635475
231, 95.9785, 2.645894
232, 99.17683, 2.655977
233, 92.98866, 2.666731
234, 88.76265, 2.677997
235, 48.87108, 2.698459
236, 109.3494, 2.707604
237, 67.76904, 2.72236
238, 62.85355, 2.73827
239, 118.3852, 2.746717
240, 58.66823, 2.763762
241, 111.2595, 2.77275
242, 100.2205, 2.782728
243, 81.06355, 2.795064
244, 106.1121, 2.804488
245, 78.57928, 2.817214
246, 97.38995, 2.827482
247, 92.86776, 2.83825
248, 61.7322, 2.854449
249, 104.0258, 2.864062
250, 83.00822, 2.876109
251, 99.33446, 2.886176
252, 77.52539, 2.899075
253, 87.66547, 2.910482
254, 89.63786, 2.921638
255, 95.09319, 2.932154
256, 93.67681, 2.942829
257, 89.74244, 2.953972
258, 93.32711, 2.964687
259, 62.83381, 2.980602
260, 126.807, 2.988488
261, 82.57639, 3.000598
262, 87.28288, 3.012055
263, 95.87727, 3.022485
264, 77.88769, 3.035324
265, 97.18173, 3.045614
266, 97.97198, 3.055821
267, 93.0752, 3.066565
268, 77.38142, 3.079488
269, 114.6132, 3.088213
270, 80.36647, 3.100656
271, 94.17082, 3.111275
272, 97.74216, 3.121506
273, 83.32639, 3.133507
274, 75.52299, 3.146748
275, 119.56, 3.155112
276, 85.66778, 3.166785
277, 92.6269, 3.177581
278, 84.71705, 3.189385
279, 71.20985, 3.203428
280, 88.05142, 3.214785
281, 100.04, 3.224781
282, 88.02817, 3.236141
283, 91.59187, 3.247059
284, 101.2556, 3.256935
285, 73.59435, 3.270523
286, 107.1237, 3.279858
287, 99.26543, 3.289932
288, 79.2142, 3.302556
289, 80.67118, 3.314952
290, 92.07256, 3.325813
291, 97.44689, 3.336075
292, 77.88769, 3.348914
293, 100.6847, 3.358846
294, 93.21402, 3.369574
295, 60.154, 3.386198
296, 81.48631, 3.39847
297, 112.9688, 3.407322
298, 69.6088, 3.421688
299, 92.78159, 3.432466
300, 90.9587, 3.44346
301, 104.0366, 3.453072
302, 76.93491, 3.46607
303, 84.78888, 3.477864
304, 108.7193, 3.487062
305, 77.55545, 3.499956
306, 82.74721, 3.512041
307, 104.1233, 3.521645
308, 79.61784, 3.534204
309, 108.8139, 3.543395
310, 80.35355, 3.55584
311, 84.47373, 3.567677
312, 105.0972, 3.577193
313, 86.14748, 3.5888
314, 89.72633, 3.599946
315, 97.1251, 3.610242
316, 71.25552, 3.624276
317, 102.7432, 3.634009
318, 71.72572, 3.647951
